Date,Country,Event,Description,Anti or Pro
7/1/2025,"Iowa, United States",LGBT housing discrimination becomes sexual orientation only,"In 2025, Iowa Gov. Kim Reynolds signed into law legislation that removes gender identity from the list of classes protected from housing discrimination. Sexual orientation was not removed from the list of protected classes. The law goes into effect on July 1st, 2025.",Anti
7/1/2025,"Iowa, United States",LGBT discrimination becomes illegal in some contexts,"In 2025, Iowa Gov. Kim Reynolds signed into law legislation that removes gender identity from the list of classes protected from discrimination. Sexual orientation was not removed from the list of protected classes. The law goes into effect on July 1st, 2025.",Anti
7/1/2025,"Iowa, United States",Right to change legal gender becomes illegal,"Beginning July 1st, 2025, transgender people will no longer have the ability to change their legal gender. Senate File 418, which was overwhelmingly passed by the Iowa State House and Senate, was signed into law by Iowa Gov. Kim Reynolds on February 28th, 2025. The bill removes text from previous law that sets up the legal framework needed for transgender people to change their legal gender.",Anti
7/1/2025,"New South Wales, Australia",Legal recognition of non-binary gender becomes recognized,"In October 2024, the Equality Legislation Amendment (LGBTIQA+) Bill 2024 was passed, recognising non-binary gender in New South Wales law for the first time and allowing individuals to update their documents.",Pro
7/1/2025,"New South Wales, Australia","Right to change legal gender becomes legal, no restrictions","In October 2024, the lower house (the Legislative Assembly) of the New South Wales state parliament passed the Equality Legislation Amendment (LGBTIQA+) Act 2024, which removed surgical requirements for a legal change of gender, by a margin of 50 votes to 30. It was later passed through the upper house (the Legislative Council) and given royal assent by NSW Governor Margaret Beazley.

The law comes into effect on 1 July 2025, making New South Wales the last state in Australia to remove surgical requirements for a legal change of gender.",Pro
7/1/2025,Czechia,"Right to change legal gender becomes legal, but requires medical diagnosis","The Czech Republic’s Constitutional Court ruled to dismiss part of a law requiring people to undergo gender-affirmation surgery, including sterilization, in order to officially change their gender. Court said the requirements are “unconstitutional” and “in conflict with the fundamental right of trans people to have protected their physical integrity and personal autonomy in connection with their human dignity.”",Pro
7/1/2025,Sweden,"Right to change legal gender becomes legal, no restrictions","Starting July 1, 2025, updating legal gender on official records will become much easier. People 16 and up will be able to switch their legal gender, however anybody that is under the age of 18 will need permission from their parents, a doctor, and the National Board of Health and Welfare. When the law goes into effect, transgender people won't need a diagnosis of ""gender dysphoria"" anymore in order to legally change their gender.",Pro
7/1/2025,Iceland,Blood donations by MSMs becomes legal,"In October 2024, Iceland announced that it will be revising it's blood donation laws to allow queer men to donate blood with the same restrictions as straight men. According to Axel Helgi Ívarsson, Iceland has wanted to make this change since 2018, but due to a lack of adequate research funding it has taken until now.

The new law comes into effect on 1 July 2025.",Pro
4/24/2025,"Rio Grande do Sul, Brazil",Censorship of LGBT issues becomes no censorship,"In 2025, the Federal Supreme Court invalidated Porto Alegre's law banning gender-neutral language in schools. Since then, there have been no laws censoring LGBTIQ+ topics in Rio Grande do Sul.",Pro
4/24/2025,Poland,Censorship of LGBT issues becomes no censorship,"Since the abolition of the last “LGBT-free zone” in 2025, there are no known laws censoring LGBTIQ+ topics in Poland.",Pro
4/17/2025,Lithuania,Same-sex marriage becomes civil unions (limited rights),"In April 17 of 2025 the Constitutional Court of Lithuania ruled that the existing partnership law, which does not allow same sex couples to register, violated the constitution. After this ruling, same sex couples can register a partnership in a court.",Pro
4/16/2025,Argentina,Gender-affirming care becomes legal,"In April 2025, The Federal Court of Paraná No. 2 declared DNU 62/2025 to be unconstitutional. 

This ruling restores the Gender Identity Law to how it was before  Decree 62/2025 was signed by President Javier Milei.",Pro
4/16/2025,Brazil,"Gender-affirming care becomes legal, but banned for minors","In 2025, Brazil’s Federal Council for Medicine issued a new resolution raising the minimum age for hormone therapy to 18 and the minimum age for surgeries to 21, banning its care to youth. This does not effect those already undergoing such care.",Anti
4/14/2025,Hungary,Censorship of LGBT issues becomes other punishment,"In April of 2025, the Hungarian government passed a constitutional amendment giving the government the power to ban LGBT events and discussion of LGBT topics. The punishments may incur a fine or the loss of citizenship. Additionally, the government is reportedly now using facial recognition technology to enforce its censorship laws.",Anti
4/9/2025,"Ohio, United States",Censorship of LGBT issues becomes state-enforced,"On April 9, 2025, Ohio’s House Bill 8 was be implemented after it was signed by the Governor in January. It restricts the teaching of sexual orientation and gender identity in grades kindergarten to 3.",Anti
4/8/2025,Greece,Blood donations by MSMs becomes banned (indefinite deferral),"In 2025, Greece overturned the 2022 decision and reinstated its ban on MSMs donating blood.",Anti
4/3/2025,"New South Wales, Australia",Conversion therapy becomes banned,"On March 22nd, 2024, New South Wales’ Parliament passed a bill that bans conversion therapy for sexual orientation and gender identity. The bill was assented to on April 3rd, 2024, and became law twelve months later, on April 3rd, 2025.",Pro
4/1/2025,"Veracruz, Mexico","Right to change legal gender becomes legal, no restrictions","In 2025, Veracruz provided for legal gender recognition on the basis of self-identification.",Pro
4/1/2025,"South Australia, Australia",Conversion therapy becomes banned,"On April 1, 2025, a law passed in South Australia banning the practice and promotion of conversion therapy took effect.",Pro
3/26/2025,"Kentucky, United States",Gender-affirming care becomes restricted,"In March 2025, the Republican-controlled House and Senate of Kentucky passed legislation banning Medicaid coverage for gender-affirming care as well as banning its access for trans prisoners.

Gender-affirming care is also still banned for minors.",Anti
3/26/2025,"Kentucky, United States",Conversion therapy becomes not banned,"In March 2025, the Republican-controlled state Senate and House overrode Governor Andy Beshear’s veto of a bill allowing conversion therapy, unbanning it.",Anti
3/25/2025,Trinidad and Tobago,Homosexual activity becomes illegal (imprisonment as punishment),"In 2025, the Trinidad and Tobago Court of Appeal reinstated the laws that criminalize homosexuality. The penalty is 5 years imprisonment, not 25 years as it had been before the laws were struck down.",Anti
3/21/2025,Italy,Censorship of LGBT issues becomes state-enforced,"In 2025, Italy’s education ministry passed a ban on the usage of gender-neutral language in school.",Anti
3/18/2025,"Ohio, United States",Gender-affirming care becomes legal,"The Tenth District Court of Appeals overturned House Bill 68, which banned gender affirming care for youth, in March 18, 2025, legalising care for minors.",Pro
3/18/2025,United States,Serving openly in military becomes legal,"On the evening of March 18th, U.S. District Judge Ana Reyes blocked the implementation of Trump's executive order banning transgender people from the military. The judge said that not only was the order unconstitutional but “a solution in search of a problem.”.",Pro
3/4/2025,Poland,"Right to change legal gender becomes legal, but requires medical diagnosis","In connection with the Supreme Court resolution III CZP 6/24, gender change takes place at the request of the person affected by the change, it is no longer necessary to sue the parents, but a divorce is still required. The rest of the procedure is the same and still depends largely on the judge.",Pro
3/4/2025,"Mexico City, Mexico",Legal recognition of non-binary gender becomes recognized,"Since 2025, Mexico City provides legal gender recognition for nonbinary and intersex people.",Pro
2/20/2025,"Kansas, United States","Gender-affirming care becomes legal, but banned for minors","In February 2025, republican lawmakers in Kansas overturned democratic governor Kelly's veto on the ban on gender-affirming care for minors.",Anti
2/13/2025,Suriname,Same-sex marriage becomes foreign same-sex marriages recognized only,"On February 13, 2025, the District Court ordered the Central Civil Affairs Bureau (CBB) to register the marriage of two same-sex couples who married abroad. The ruling, regardless of whether the State appeals or not, must be implemented immediately. The case was filed with the court in October 2023.",Pro
2/7/2025,United States,"Serving openly in military becomes lesbians, gays, bisexuals permitted, transgender people banned","Secretary of Defense Pete Hegseth filed in court a memo on February 10th, 2025 relating to President Trump’s executive order from the previous month.

From now on, The U.S. military will prohibit transgender individuals from enlisting, and will cease providing or supporting gender transition procedures for service members.",Anti
2/7/2025,Argentina,"Gender-affirming care becomes legal, but banned for minors","Decree 62/2025 signed by President Javier Milei, in force since February 7, 2025, replaced article 11 of Law No. 26,743 on Gender Identity, with the following:

ARTICLE 11.- Right to free personal development. All persons over EIGHTEEN (18) years of age may, in accordance with article 1 of this law and in order to guarantee the enjoyment of their comprehensive health, access total and partial surgical interventions and/or comprehensive hormonal treatments to adapt their body, including their genitalia, to their self-perceived gender identity, without the need to request judicial or administrative authorization.

To access comprehensive hormonal treatments, it will not be necessary to prove the will in the surgical intervention of total or partial genital reassignment. In both cases, only the informed consent of the person will be required.

The public health system's effectors, whether state, private or part of the social security subsystem, must permanently guarantee the rights recognized by this law.

All health benefits contemplated in this article are included in the Mandatory Medical Plan, or the one that replaces it, as regulated by the implementing authority.

Persons under EIGHTEEN (18) years of age will not be able to access the interventions and treatments referred to in this article.",Anti
1/28/2025,Australia,Gender-affirming care becomes varies by region,"Until 2025, gender-affirming care was subject to no legal restrictions throughout Australia until Queensland placed a pause on puberty blockers for patients in the public health system.",Anti
1/28/2025,"Queensland, Australia","Gender-affirming care becomes legal, but restricted for minors",Health minister issued a pause on gender affirming care for minors requesting another “review” into the Queensland Gender Services banning it for users of the public system. Private care can still be accessed.,Anti
